what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20131227-1524,"org.eclipse.ui.cheatsheets",1510762070189
stopped,bundle,org.eclipse.help.ui,4.0.100.v20140401-0608,"org.eclipse.help.ui",1510762070216
stopped,bundle,org.eclipse.help.webapp,3.7.0.v20150425-0643,"org.eclipse.help.webapp",1510762070238
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1510762070239
stopped,bundle,org.eclipse.ui.intro.universal,3.2.800.v20150325-0952,"org.eclipse.ui.intro.universal",1510762070239
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1510762070255
stopped,bundle,org.eclipse.ui.intro,3.4.300.v20141007-1449,"org.eclipse.ui.intro",1510762070255
stopped,bundle,org.eclipse.help.base,4.0.301.v20160212-1500,"org.eclipse.help.base",1510762070256
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.850.v201505131719,"org.eclipse.jst.ws.axis.creation.ui",1510762070257
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.800.v201505131719,"org.eclipse.jst.ws.axis.consumption.ui",1510762070259
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.creation.ui",1510762070260
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.consumption.ui",1510762070261
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.creation.core",1510762070262
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.consumption.core",1510762070263
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.300.v201403242125,"org.eclipse.jst.ws.cxf.creation.ui",1510762070264
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.900.v201503111711,"org.eclipse.jst.ws.creation.ui",1510762070265
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.300.v201309232152,"org.eclipse.jst.ws.cxf.consumption.ui",1510762070266
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.800.v201504152025,"org.eclipse.jst.ws.consumption.ui",1510762070268
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.400.v201309242118,"org.eclipse.jst.ws.axis2.ui",1510762070269
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.600.v201505131719,"org.eclipse.jst.ws.uddiregistry",1510762070270
stopped,bundle,org.eclipse.jst.ws.ui,1.0.500.v201505131719,"org.eclipse.jst.ws.ui",1510762070271
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.850.v201512021921,"org.eclipse.wst.ws.explorer",1510762070290
stopped,bundle,org.eclipse.equinox.http.jetty,3.1.2.v20160115-1350,"org.eclipse.equinox.http.jetty",1510762070291
stopped,bundle,org.eclipse.wst.server.preview,1.1.302.v201411112027,"org.eclipse.wst.server.preview",1510762070292
stopped,bundle,org.eclipse.egit.mylyn.ui,4.1.1.201511131810-r,"org.eclipse.egit.mylyn.ui",1510762070294
stopped,bundle,org.eclipse.egit.ui,4.1.1.201511131810-r,"org.eclipse.egit.ui",1510762070294
stopped,bundle,org.eclipse.oomph.setup.editor,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.editor",1510762070312
stopped,bundle,org.eclipse.oomph.resources.edit,1.3.0.v20160213-0953,"org.eclipse.oomph.resources.edit",1510762070313
stopped,bundle,org.eclipse.oomph.workingsets.editor,1.3.0.v20160213-0953,"org.eclipse.oomph.workingsets.editor",1510762070314
stopped,bundle,org.eclipse.oomph.workingsets.edit,1.3.0.v20160213-0953,"org.eclipse.oomph.workingsets.edit",1510762070315
stopped,bundle,org.eclipse.oomph.predicates.edit,1.3.0.v20160213-0953,"org.eclipse.oomph.predicates.edit",1510762070315
stopped,bundle,org.eclipse.oomph.resources,1.3.0.v20160213-0953,"org.eclipse.oomph.resources",1510762070354
stopped,bundle,org.eclipse.oomph.workingsets,1.3.0.v20160213-0953,"org.eclipse.oomph.workingsets",1510762070354
stopped,bundle,org.eclipse.oomph.predicates,1.3.0.v20160213-0953,"org.eclipse.oomph.predicates",1510762070354
stopped,bundle,org.eclipse.egit.core,4.1.1.201511131810-r,"org.eclipse.egit.core",1510762070354
stopped,bundle,org.eclipse.jgit.archive,4.1.1.201511131810-r,"org.eclipse.jgit.archive",1510762070355
stopped,bundle,org.eclipse.jgit,4.1.1.201511131810-r,"org.eclipse.jgit",1510762070356
stopped,bundle,org.eclipse.m2e.discovery,1.6.2.20150902-0002,"org.eclipse.m2e.discovery",1510762070356
stopped,bundle,org.eclipse.m2e.editor,1.6.2.20150902-0002,"org.eclipse.m2e.editor",1510762070357
stopped,bundle,org.eclipse.m2e.editor.xml,1.6.2.20150902-0002,"org.eclipse.m2e.editor.xml",1510762070358
stopped,bundle,org.eclipse.m2e.wtp.jaxrs,1.2.1.20150819-2220,"org.eclipse.m2e.wtp.jaxrs",1510762070359
stopped,bundle,org.eclipse.m2e.wtp.jpa,1.2.1.20150819-2224,"org.eclipse.m2e.wtp.jpa",1510762070360
stopped,bundle,org.eclipse.m2e.wtp.jsf,1.2.1.20150819-2220,"org.eclipse.m2e.wtp.jsf",1510762070361
