what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1511192804052
os,sysinfo,,,"win32",1511192804057
arch,sysinfo,,,"x86",1511192804057
ws,sysinfo,,,"win32",1511192804057
locale,sysinfo,,,"pt_BR",1511192804057
processors,sysinfo,,,"2",1511192804057
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1511192804057
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1511192804057
java.specification.name,sysinfo,,,"Java Platform API Specification",1511192804057
java.specification.vendor,sysinfo,,,"Oracle Corporation",1511192804057
java.specification.version,sysinfo,,,"1.8",1511192804057
java.vendor,sysinfo,,,"Oracle Corporation",1511192804057
java.version,sysinfo,,,"1.8.0_131",1511192804057
java.vm.info,sysinfo,,,"mixed mode",1511192804057
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1511192804057
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1511192804057
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1511192804057
java.vm.specification.version,sysinfo,,,"1.8",1511192804057
java.vm.vendor,sysinfo,,,"Oracle Corporation",1511192804057
java.vm.version,sysinfo,,,"25.131-b11",1511192804057
started,bundle,org.eclipse.epp.logging.aeri.core,1.100.0.v20160211-1103,"org.eclipse.epp.logging.aeri.core",1511192804107
started,bundle,org.eclipse.oomph.setup.sync,1.3.0.v20160213-0953,"org.eclipse.oomph.setup.sync",1511192804108
started,bundle,org.eclipse.userstorage.ui,1.0.0.v20151216-0912,"org.eclipse.userstorage.ui",1511192804109
started,bundle,org.eclipse.userstorage,1.0.0.v20151212-0935,"org.eclipse.userstorage",1511192804110
started,bundle,org.eclipse.equinox.p2.ui,2.4.0.v20150425-0422,"org.eclipse.equinox.p2.ui",1511192804206
started,bundle,org.eclipse.oomph.preferences,1.3.0.v20160213-0953,"org.eclipse.oomph.preferences",1511192804209
started,bundle,org.eclipse.ecf,3.7.0.v20151130-0157,"org.eclipse.ecf",1511192804246
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20151130-0157,"org.eclipse.ecf.filetransfer",1511192804252
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.10.0.v20151102-1814,"org.eclipse.mylyn.commons.notifications.ui",1511192804255
started,bundle,org.eclipse.ecf.identity,3.6.0.v20151130-0157,"org.eclipse.ecf.identity",1511192804313
