what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.200.v20120807-0927,"org.eclipse.ui.net",1511192402066
started,bundle,org.eclipse.ui.themes,1.1.1.v20151026-1355,"org.eclipse.ui.themes",1511192402066
started,bundle,org.eclipse.ui.trace,1.0.300.v20150220-1252,"org.eclipse.ui.trace",1511192402066
started,bundle,org.eclipse.ui.views,3.8.0.v20150422-0725,"org.eclipse.ui.views",1511192402128
started,bundle,org.eclipse.ui.views.log,1.0.600.v20150513-1840,"org.eclipse.ui.views.log",1511192402207
started,bundle,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"org.eclipse.ui.workbench",1511192402253
started,bundle,org.eclipse.ui.workbench.texteditor,3.9.100.v20141023-1946,"org.eclipse.ui.workbench.texteditor",1511192402332
started,bundle,org.eclipse.update.configurator,3.3.300.v20140518-1928,"org.eclipse.update.configurator",1511192402332
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1511192402332
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1511192402332
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1511192402332
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1511192402332
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1511192402441
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1511192402441
os,sysinfo,,,"win32",1511192402441
arch,sysinfo,,,"x86",1511192402441
ws,sysinfo,,,"win32",1511192402441
locale,sysinfo,,,"pt_BR",1511192402441
processors,sysinfo,,,"2",1511192402441
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1511192402441
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1511192402441
java.specification.name,sysinfo,,,"Java Platform API Specification",1511192402441
java.specification.vendor,sysinfo,,,"Oracle Corporation",1511192402441
java.specification.version,sysinfo,,,"1.8",1511192402441
java.vendor,sysinfo,,,"Oracle Corporation",1511192402441
java.version,sysinfo,,,"1.8.0_131",1511192402441
java.vm.info,sysinfo,,,"mixed mode",1511192402441
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1511192402441
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1511192402441
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1511192402441
java.vm.specification.version,sysinfo,,,"1.8",1511192402441
java.vm.vendor,sysinfo,,,"Oracle Corporation",1511192402441
java.vm.version,sysinfo,,,"25.131-b11",1511192402441
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201403100950,"org.eclipse.rse.connectorservice.local",1511192402581
started,bundle,org.eclipse.oomph.p2,1.3.0.v20160213-0953,"org.eclipse.oomph.p2",1511192402613
started,bundle,org.eclipse.rse.services.local,2.2.0.201502030655,"org.eclipse.rse.services.local",1511192402707
